category,target,refs,linking_pages,examples
ARTICLE,blog/mfsp,7,7,blog/cantonese-mini-transcript-star-wars-clone-wars-mace-windu/feed/index.html | blog/cantonese-mini-transcript-star-wars-clone-wars-mace-windu/index.html | blog/category/all-star-comments/feed/index.html | blog/category/sentences/feed/index.html | blog/for-jta-eyes-only-the-couch-potato-starter-pack/index.html
ARTICLE,blog/ssinfo,7,7,blog/dont-improve-yourself-stop-trying-to-become-a-better-person/index.html | blog/series/mediocre-excellence/feed/index.html | blog/silverspoon-bigboi-the-silverspoon-for-post-rtkers/index.html | blog/silverspoon-legacy/index.html | blog/sinospoon-silverspoon-for-mandarin-its-what-marco-polo-wished-hed-had/index.html
ARTICLE,khatzumemo,7,5,blog/cookies/index.html | blog/disruptive-ads-removed/index.html | blog/khatzumemo-cellphone-drive/index.html | blog/khatzumemo-like-supermemomnemosyne-but-web-based/index.html | blog/programming-break/index.html
ARTICLE,blog/imx,12,3,blog/how-to-read-and-write-awesome-japanese-text-sms-messages/index.html | blog/the-halloween-horror-sentence-pack/index.html | blog/the-trumpinator/index.html
ARTICLE,blog/twitter,3,3,blog/series/timeboxing-trilogy/feed/index.html | blog/timeboxing-trilogy-part-7-qa-2-or-isnt-timeboxing-just-a-waste-of-time/index.html | blog/url-shuffler/index.html
ARTICLE,blog/toc,8,2,blog/lard-the-little-red-dao-of-ajatt-yours-is-here/index.html | blog/the-little-red-dao-of-ajatt/index.html
ARTICLE,世界読書コンクール／international-l2-reading-contest,4,2,blog/read-more-or-die-readmod多読-a-foreign-language-extensive-reading-contest-2013-edition/index.html | blog/read-more-or-die-readmod多読-a-foreign-language-extensive-reading-contest-2014-edition/index.html
ARTICLE,dick-and-jane,2,2,blog/dick-and-jane/feed/index.html | blog/dick-and-jane/index.html
ARTICLE,hanzimem,2,2,blog/hanzi-mnemonics-project/index.html | blog/housekeeping-friday/index.html
ARTICLE,language-is-friendship-and-familiarity,2,2,blog/read-more-or-die-readmod多読-a-foreign-language-extensive-reading-contest-2013-edition/index.html | blog/read-more-or-die-readmod多読-a-foreign-language-extensive-reading-contest-2014-edition/index.html
ARTICLE,stephen-krashen-on-reading,2,2,blog/read-more-or-die-readmod多読-a-foreign-language-extensive-reading-contest-2013-edition/index.html | blog/read-more-or-die-readmod多読-a-foreign-language-extensive-reading-contest-2014-edition/index.html
ARTICLE,blog/e382a2e3839be38383e3818be38081e5958fe9a18ce381afe8be9ee69bb8e381aae38293e3818be38198e38283e381aae38184e3819e.html,2,1,blog/its-not-the-dictionary-stupid/index.html
ARTICLE,blog/ff,1,1,blog/ajatt-twitter-tweets-for-week-of-2010-12-12/index.html
ARTICLE,blog/index531b-2.html,1,1,blog/ajatt-twitter-tweets-for-week-of-2011-06-26-2/index.html
ARTICLE,blog/index4f9f-2.html,1,1,blog/ajatt-twitter-tweets-for-week-of-2012-03-04-2/index.html
ARTICLE,blog/index2af5-2.html,1,1,blog/ajatt-twitter-tweets-for-week-of-2012-05-20/index.html
ARTICLE,blog/indexa469-2.html,1,1,blog/ajatt-twitter-tweets-for-week-of-2012-06-03-2/index.html
ARTICLE,all-japanese-all-the-time-ajatt-how-to-learn-japanese-on-y&,1,1,blog/all-japanese-all-the-time-ajatt-how-to-learn-japanese-on-your-own-having-fun-and-to-fluency/feed/index.html
ARTICLE,blog/index5034-2.html,1,1,blog/awesome-japanese-rap-music-from-the-past-couple-of-years-2019-edition/index.html
ARTICLE,dick-and-jane-episode-13,1,1,blog/category/dick-and-jane/feed/index.html
ARTICLE,chinese-content-bonanza -,1,1,blog/chinese-content-bonanza/feed/index.html
ARTICLE,chinese-project-notes-10-big-developments-anki-text-to-spe,1,1,blog/chinese-project-notes-10-big-developments-anki-text-to-speech-cantonese-victory-calendar/feed/index.html
ARTICLE,blog/dick-and-jane-episode-13.html,1,1,blog/dick-and-jane-episode-12/index.html
ARTICLE,blog/index9f0c-2.html,1,1,blog/how-and-why-the-principle-of-proportionality-works/index.html
ARTICLE,how-to-accomplish-great-things-small-victories-winnable-ga,1,1,blog/how-to-accomplish-great-things-small-victories-winnable-games/feed/index.html
ARTICLE,just-do-one-lowering-your-standards-and-using-patterns-fro,1,1,blog/just-do-one-lowering-your-standards-and-using-patterns-from-addictions-to-achieve-success/feed/index.html
ARTICLE,khatzumemo-dev,1,1,blog/khatzumemo-cellphone-drive/index.html
ARTICLE,blog/index0863-2.html,1,1,blog/learning-a-language-is-good-but-not-for-the-reasons-you-think/index.html
ARTICLE,logical-reasons-to-learn-a-l,1,1,blog/logical-reasons-to-learn-a-language/feed/index.html
ARTICLE,blog/indexda6e-2.html,1,1,blog/progress-over-perfection/index.html
ARTICLE,further-reading-on-どんだけ,1,1,blog/read-more-or-die-readmod多読-a-foreign-language-extensive-reading-contest-2013-edition/index.html
ARTICLE,read-more-or-die-readmod多読-a-foreign-language-extensive-reading-contest-2014-edition/index.html,1,1,blog/read-more-or-die-readmod多読-a-foreign-language-extensive-reading-contest-2013-edition/index.html
ARTICLE,stop-with-the-resolutions-start-with-the-crack,1,1,blog/read-more-or-die-readmod多読-a-foreign-language-extensive-reading-contest-2013-edition/index.html
ARTICLE,the-ten-commandments-of-ajatt,1,1,blog/read-more-or-die-readmod多読-a-foreign-language-extensive-reading-contest-2013-edition/index.html
ARTICLE,ajatt-best-of-2013,1,1,blog/read-more-or-die-readmod多読-a-foreign-language-extensive-reading-contest-2014-edition/index.html
ARTICLE,dont-think-of-it-as-a-new-year-think-of-it-as-a-new-day,1,1,blog/read-more-or-die-readmod多読-a-foreign-language-extensive-reading-contest-2014-edition/index.html
ARTICLE,language-is-murder,1,1,blog/read-more-or-die-readmod多読-a-foreign-language-extensive-reading-contest-2014-edition/index.html
ARTICLE,read-more-or-die-readmod多読-a-foreign-language-extensive-reading-contest-2013-edition,1,1,blog/read-more-or-die-readmod多読-a-foreign-language-extensive-reading-contest-2014-edition/index.html
ARTICLE,blog/secrets-to-smoother-srsing-part-1-the-srs-is-a-servant-not-a-masterf587.html,1,1,blog/secrets-to-smoother-srsing-part-1-the-srs-is-a-servant-not-a-master/index.html
ARTICLE,learning-songs-using-the-srs-my-current-method,1,1,blog/series/why-the-way-we-read-sucks-and-how-to-fix-it/feed/index.html
ARTICLE,success-story-ive-finally-figured-out-this-ajatt-thing,1,1,blog/series/why-the-way-we-read-sucks-and-how-to-fix-it/feed/index.html
