group,action,target,refs,linking_pages
A. Dead WordPress endpoint,remove the markup that points at it,blog/wp-login.php,49,blog/benny-the-irish-polyglot-special-freebie-offer-limited-time-only-free-upgrade-to-the-imx-polyglot-lifetime-plan/index.html | blog/benny-the-irish-polyglot-special-freebie-offer-limited-time-only-how-to-never-ever-have-trouble-or-waste-time-looking-for-and-finding-the-coolest-multimedia-immersion-material-in-any-language-ev/index.html | blog/dr-khatzumoto-inner-circle-one-on-one-private-consulting/index.html | blog/fluent-in-3-months-easter-only-special-offer-how-to-never-ever-have-trouble-or-waste-time-looking-for-and-finding-the-coolest-multimedia-immersion-material-in-any-language-ever-again-ever-foreve/index.html | blog/for-waiting-list-eyes-only-grace-is-having-her-period/index.html | blog/for-waiting-list-eyes-only-neutrino-fall-round-2013-general-info/index.html
A. Dead WordPress endpoint,remove the markup that points at it,wp-login.php,9,blog/comments/feed/index.html | blog/early-reservation-list-only-the-moe-sentence-pack-2013-edition-super-secret-freebie/index.html | blog/silverspoon-join-neutrino-bigboi-japanese-post-rtk/index.html | blog/silverspoon-join-neutrino-now-spaces-permitting/feed/index.html | blog/silverspoon-join-neutrino-now-spaces-permitting/index.html | blog/silverspoon-join-neutrino-sinospoon-mandarin/index.html
B. Dead oEmbed endpoint,remove the <link rel=alternate> tags,blog/wp-json/oembed/1.0/embed,92,blog/a-new-ajatt-for-a-new-decade-and-a-new-you/index.html | blog/book-recommendation-怨み屋本舗-uramiya-honpo/index.html | blog/compromise-maintaining-your-immersion-environment-without-completely-alienating-your-fellows…or-yourself/index.html | blog/for-jta-eyes-only-the-couch-potato-starter-pack/index.html | blog/further-reading-on-どんだけ/index.html | blog/game-over-bro/index.html
B. Dead oEmbed endpoint,remove the <link rel=alternate> tags,blog/wp-json/oembed/1.0/embed4ee5.json,1,blog/ajatt-twitter-tweets-for-week-of-2010-09-26/index.html
B. Dead oEmbed endpoint,remove the <link rel=alternate> tags,blog/wp-json/oembed/1.0/embed1798.json,1,blog/birthlines-part-1-what-is-a-birthline/index.html
B. Dead oEmbed endpoint,remove the <link rel=alternate> tags,blog/wp-json/oembed/1.0/embed7f29.json,1,blog/kill-your-heroes/index.html
B. Dead oEmbed endpoint,remove the <link rel=alternate> tags,blog/wp-json/oembed/1.0/embed903c.json,1,blog/max-out-the-cause-card/index.html
B. Dead oEmbed endpoint,remove the <link rel=alternate> tags,blog/wp-json/oembed/1.0/embed03b3.json,1,blog/patience/index.html
B. Dead oEmbed endpoint,remove the <link rel=alternate> tags,blog/wp-json/oembed/1.0/embedaca9.json,1,blog/the-radical-uncertainty-of-success/index.html
C. Dead ad rotator,remove the <img>/<div>,blog/images/youradhere/rotate.php,20,blog/ajatt-plus-is-here-and-things-that-once-were-forbidden-are-no-longer-forbidden/index.html | blog/lard-the-little-red-dao-of-ajatt-yours-is-here/index.html | blog/「光の雨」を見終わっ/index.html | blog/お巫山戯、日本語で-japanese-babies-that-suck-even-harder-than-you/index.html | blog/ジブリ、嫌い/index.html
C. Dead ad rotator,remove the <img>/<div>,blog/images/header-ajattplus-v2/rotate.php,4,blog/ajatt-plus-is-here-and-things-that-once-were-forbidden-are-no-longer-forbidden/index.html | blog/paypal-payment-confirmation/index.html | blog/「光の雨」を見終わっ/index.html | blog/お巫山戯、日本語で-japanese-babies-that-suck-even-harder-than-you/index.html
C. Dead ad rotator,remove the <img>/<div>,blog/images/header-mix-all/rotate.php,3,blog/advertise/index.html | blog/ajatt-plus-info/index.html | blog/ジブリ、嫌い/index.html
C. Dead ad rotator,remove the <img>/<div>,blog/images/ajattplus1/rotate.php,1,blog/ajatt-plus-is-here-and-things-that-once-were-forbidden-are-no-longer-forbidden/index.html
C. Dead ad rotator,remove the <img>/<div>,blog/images/ajattplus12/rotate.php,1,blog/ajatt-plus-is-here-and-things-that-once-were-forbidden-are-no-longer-forbidden/index.html
C. Dead ad rotator,remove the <img>/<div>,blog/images/ajattplus6/rotate.php,1,blog/ajatt-plus-is-here-and-things-that-once-were-forbidden-are-no-longer-forbidden/index.html
C. Dead ad rotator,remove the <img>/<div>,blog/images/header-ajattplus/rotate.php,1,blog/ajatteer-profile-maya/index.html
C. Dead ad rotator,remove the <img>/<div>,blog/images/header-lard/rotate.php,1,blog/lard-the-little-red-dao-of-ajatt-yours-is-here/index.html
D. Plugin/theme asset,"asset never mirrored - drop the reference, or vendor a copy",wp-content/themes/magazine-premium/library/images/404.png,38,blog/10000-sentences-how/function-2.html | blog/10000-sentences-how/function-3.html | blog/10000-sentences-how/function.html | blog/ajatt-twitter-tweets-for-week-of-2010-01-16/function.html | blog/archives/page/139/function.html | blog/author/admin.html
D. Plugin/theme asset,"asset never mirrored - drop the reference, or vendor a copy",blog/wp-content/plugins/jetpack/modules/wpgroho.js,35,blog/a-new-ajatt-for-a-new-decade-and-a-new-you/index.html | blog/dr-khatzumoto-inner-circle-one-on-one-private-consulting/index.html | blog/for-jta-eyes-only-the-couch-potato-starter-pack/index.html | blog/game-over-bro/index.html | blog/gamma-galacta-the-maternal-grandmother-of-all-sentence-packs-2019-edition/index.html | blog/how-to-read-and-write-awesome-japanese-text-sms-messages/index.html
D. Plugin/theme asset,"asset never mirrored - drop the reference, or vendor a copy",blog/wp-content/plugins/related-posts/static/themes/vertical-m.css,19,blog/dr-khatzumoto-inner-circle-one-on-one-private-consulting/index.html | blog/game-over-bro/index.html | blog/gamma-galacta-the-maternal-grandmother-of-all-sentence-packs-2019-edition/index.html | blog/how-to-speak-japanese-like-a-real-man-not-your-girlfriend-wife-secretary-school-marm-or-host-mother/index.html | blog/how-to-write-japanese-text-sms-messages/index.html | blog/imx-steve-pavlina-special-project/index.html
D. Plugin/theme asset,"asset never mirrored - drop the reference, or vendor a copy",blog/wp-content/plugins/contact-form-7/includes/css/styles.css,13,blog/dr-khatzumoto-inner-circle-one-on-one-private-consulting/index.html | blog/how-to-speak-japanese-like-a-real-man-not-your-girlfriend-wife-secretary-school-marm-or-host-mother/index.html | blog/imx-steve-pavlina-special-project/index.html | blog/limited-time-only-imx-autumn-harvest-moon-miracle-freebie-offer/index.html | blog/limited-time-only-special-offer-free-upgrade-to-massive-manhood/index.html | blog/muaji-apply/index.html
D. Plugin/theme asset,"asset never mirrored - drop the reference, or vendor a copy",blog/wp-content/plugins/audio-link-player/player-js.php,13,blog/dr-khatzumoto-inner-circle-one-on-one-private-consulting/index.html | blog/how-to-speak-japanese-like-a-real-man-not-your-girlfriend-wife-secretary-school-marm-or-host-mother/index.html | blog/imx-steve-pavlina-special-project/index.html | blog/limited-time-only-imx-autumn-harvest-moon-miracle-freebie-offer/index.html | blog/limited-time-only-special-offer-free-upgrade-to-massive-manhood/index.html | blog/muaji-apply/index.html
D. Plugin/theme asset,"asset never mirrored - drop the reference, or vendor a copy",blog/wp-content/plugins/contact-form-7/includes/js/jquery.form.min.js,13,blog/dr-khatzumoto-inner-circle-one-on-one-private-consulting/index.html | blog/how-to-speak-japanese-like-a-real-man-not-your-girlfriend-wife-secretary-school-marm-or-host-mother/index.html | blog/imx-steve-pavlina-special-project/index.html | blog/limited-time-only-imx-autumn-harvest-moon-miracle-freebie-offer/index.html | blog/limited-time-only-special-offer-free-upgrade-to-massive-manhood/index.html | blog/muaji-apply/index.html
D. Plugin/theme asset,"asset never mirrored - drop the reference, or vendor a copy",blog/wp-content/plugins/contact-form-7/includes/js/scripts.js,13,blog/dr-khatzumoto-inner-circle-one-on-one-private-consulting/index.html | blog/how-to-speak-japanese-like-a-real-man-not-your-girlfriend-wife-secretary-school-marm-or-host-mother/index.html | blog/imx-steve-pavlina-special-project/index.html | blog/limited-time-only-imx-autumn-harvest-moon-miracle-freebie-offer/index.html | blog/limited-time-only-special-offer-free-upgrade-to-massive-manhood/index.html | blog/muaji-apply/index.html
D. Plugin/theme asset,"asset never mirrored - drop the reference, or vendor a copy",blog/wp-includes/js/swfobject.js,13,blog/dr-khatzumoto-inner-circle-one-on-one-private-consulting/index.html | blog/how-to-speak-japanese-like-a-real-man-not-your-girlfriend-wife-secretary-school-marm-or-host-mother/index.html | blog/imx-steve-pavlina-special-project/index.html | blog/limited-time-only-imx-autumn-harvest-moon-miracle-freebie-offer/index.html | blog/limited-time-only-special-offer-free-upgrade-to-massive-manhood/index.html | blog/muaji-apply/index.html
D. Plugin/theme asset,"asset never mirrored - drop the reference, or vendor a copy",blog/wp-content/plugins/jetpack/css/jetpack.css,12,blog/book-recommendation-怨み屋本舗-uramiya-honpo/index.html | blog/compromise-maintaining-your-immersion-environment-without-completely-alienating-your-fellows…or-yourself/index.html | blog/further-reading-on-どんだけ/index.html | blog/goodbye-khatzumemo-hello-surusu-the-spaced-repetition-制ystem/index.html | blog/how-to-read-out-the-things-that-aren’t-written-in-japanese-military-style-numerals/index.html | blog/learning-like-a-native-どんだけ～/index.html
D. Plugin/theme asset,"asset never mirrored - drop the reference, or vendor a copy",blog/wp-content/plugins/make-safe-for-work/styles.css,12,blog/book-recommendation-怨み屋本舗-uramiya-honpo/index.html | blog/compromise-maintaining-your-immersion-environment-without-completely-alienating-your-fellows…or-yourself/index.html | blog/further-reading-on-どんだけ/index.html | blog/goodbye-khatzumemo-hello-surusu-the-spaced-repetition-制ystem/index.html | blog/how-to-read-out-the-things-that-aren’t-written-in-japanese-military-style-numerals/index.html | blog/learning-like-a-native-どんだけ～/index.html
D. Plugin/theme asset,"asset never mirrored - drop the reference, or vendor a copy",blog/wp-content/plugins/organize-series-extra-tokens/orgSeries-extra.css,12,blog/book-recommendation-怨み屋本舗-uramiya-honpo/index.html | blog/compromise-maintaining-your-immersion-environment-without-completely-alienating-your-fellows…or-yourself/index.html | blog/further-reading-on-どんだけ/index.html | blog/goodbye-khatzumemo-hello-surusu-the-spaced-repetition-制ystem/index.html | blog/how-to-read-out-the-things-that-aren’t-written-in-japanese-military-style-numerals/index.html | blog/learning-like-a-native-どんだけ～/index.html
D. Plugin/theme asset,"asset never mirrored - drop the reference, or vendor a copy",blog/wp-content/plugins/organize-series/orgSeries.css,12,blog/book-recommendation-怨み屋本舗-uramiya-honpo/index.html | blog/compromise-maintaining-your-immersion-environment-without-completely-alienating-your-fellows…or-yourself/index.html | blog/further-reading-on-どんだけ/index.html | blog/goodbye-khatzumemo-hello-surusu-the-spaced-repetition-制ystem/index.html | blog/how-to-read-out-the-things-that-aren’t-written-in-japanese-military-style-numerals/index.html | blog/learning-like-a-native-どんだけ～/index.html
D. Plugin/theme asset,"asset never mirrored - drop the reference, or vendor a copy",blog/wp-content/themes/magazine-premium/style.css,12,blog/book-recommendation-怨み屋本舗-uramiya-honpo/index.html | blog/compromise-maintaining-your-immersion-environment-without-completely-alienating-your-fellows…or-yourself/index.html | blog/further-reading-on-どんだけ/index.html | blog/goodbye-khatzumemo-hello-surusu-the-spaced-repetition-制ystem/index.html | blog/how-to-read-out-the-things-that-aren’t-written-in-japanese-military-style-numerals/index.html | blog/learning-like-a-native-どんだけ～/index.html
D. Plugin/theme asset,"asset never mirrored - drop the reference, or vendor a copy",blog/wp-includes/css/dist/block-library/style.min.css,12,blog/book-recommendation-怨み屋本舗-uramiya-honpo/index.html | blog/compromise-maintaining-your-immersion-environment-without-completely-alienating-your-fellows…or-yourself/index.html | blog/further-reading-on-どんだけ/index.html | blog/goodbye-khatzumemo-hello-surusu-the-spaced-repetition-制ystem/index.html | blog/how-to-read-out-the-things-that-aren’t-written-in-japanese-military-style-numerals/index.html | blog/learning-like-a-native-どんだけ～/index.html
